id,nombre_canonico,tipo,es_clave,categoria,metadata,fecha_creacion,ultima_mencion
44,##inbaum,PER,0,,,2026-02-03 16:47:11,
45,She,PER,0,,,2026-02-03 16:47:11,
46,Sinaloa,LOC,0,,,2026-02-03 16:47:11,
47,Claudia Sheinbaum,PER,0,,,2026-02-03 16:47:11,
48,EU,ORG,0,,,2026-02-03 16:47:11,
49,de agua,LOC,0,,,2026-02-03 16:47:11,
50,Estrategia de promoción,ORG,0,,,2026-02-03 16:47:11,
51,Aguascalient,LOC,0,,,2026-02-03 16:47:11,
52,##ria del juguete,ORG,0,,,2026-02-03 16:47:11,
53,##ción,ORG,0,,,2026-02-03 16:47:11,
54,PIB de EU,ORG,0,,,2026-02-03 16:47:11,
55,la UE,ORG,0,,,2026-02-03 16:47:11,
56,China,LOC,0,,,2026-02-03 16:47:11,
57,Centro Histórico,ORG,0,,,2026-02-03 16:47:11,
58,CDMX,ORG,0,,,2026-02-03 16:47:11,
59,GMC Canyon,ORG,0,,,2026-02-03 16:47:11,
60,ISN,ORG,0,,,2026-02-03 16:47:11,
61,del j,ORG,0,,,2026-02-03 16:47:11,
62,cre,ORG,0,,,2026-02-03 16:47:11,
63,##mus,PER,0,,,2026-02-03 16:47:11,
64,Le,PER,0,,,2026-02-03 16:47:11,
65,Planta eléctrica de CFE en,ORG,0,,,2026-02-03 16:47:11,
66,Jalisco,LOC,0,,,2026-02-03 16:47:11,
67,Fallec,PER,0,,,2026-02-03 16:47:11,
68,Vince Zampella,PER,0,,,2026-02-03 16:47:11,
69,Lu,ORG,0,,,2026-02-03 16:47:11,
70,Exige MC,ORG,0,,,2026-02-03 16:47:11,
71,##ción de cuentas para Mu,ORG,0,,,2026-02-03 16:47:11,
72,re,ORG,0,,,2026-02-03 16:47:11,
73,##cia,ORG,0,,,2026-02-03 16:47:11,
74,Suspenden,ORG,0,,,2026-02-03 16:47:11,
75,Ventas de la Rosca de Reyes,ORG,0,,,2026-02-03 16:47:11,
76,##ciones de México,ORG,0,,,2026-02-03 16:47:11,
77,Expo,ORG,0,,,2026-02-03 16:47:11,
78,##guinaldo,LOC,0,,,2026-02-03 16:47:11,
79,ca,LOC,0,,,2026-02-03 16:47:11,
80,Vietnam,LOC,0,,,2026-02-03 16:47:11,
81,USTR,ORG,0,,,2026-02-03 16:47:11,
82,J,PER,0,,,2026-02-03 16:47:11,
83,IA,ORG,0,,,2026-02-03 16:47:11,
84,ESG,ORG,0,,,2026-02-03 16:47:11,
85,com,ORG,0,,,2026-02-03 16:47:11,
86,CFECapital,ORG,0,,,2026-02-03 16:47:11,
87,Del,ORG,0,,,2026-02-03 16:47:11,
88,Suben,ORG,0,,,2026-02-03 16:47:11,
89,Planea EU,ORG,0,,,2026-02-03 16:47:11,
90,di,ORG,0,,,2026-02-03 16:47:11,
91,de la IA,ORG,0,,,2026-02-03 16:47:11,
92,de los cread,ORG,0,,,2026-02-03 16:47:11,
93,Gas L. P,ORG,0,,,2026-02-03 16:47:11,
94,Detectan,ORG,0,,,2026-02-03 16:47:11,
95,Donald Trump,PER,0,,,2026-02-03 16:47:11,
96,The Washington Post,ORG,0,,,2026-02-03 16:47:11,
97,Aeropuerto de Torreón,ORG,0,,,2026-02-03 16:47:11,
98,OMA,ORG,0,,,2026-02-03 16:47:11,
99,Ineg,ORG,0,,,2026-02-03 16:47:11,
100,##ios,ORG,0,,,2026-02-03 16:47:11,
101,Industria Manufacturera y ser,ORG,0,,,2026-02-03 16:47:11,
102,Están a ' na,ORG,0,,,2026-02-03 16:47:11,
103,Sal,ORG,0,,,2026-02-03 16:47:11,
104,##ble,ORG,0,,,2026-02-03 16:47:11,
105,A,ORG,0,,,2026-02-03 16:47:11,
106,##gua,LOC,0,,,2026-02-03 16:47:11,
107,Madero,LOC,0,,,2026-02-03 16:47:11,
108,obras del Centro Cultural del Norte,ORG,0,,,2026-02-03 16:47:11,
109,Torreón,LOC,0,,,2026-02-03 16:47:11,
110,##mas Torre,PER,0,,,2026-02-03 16:47:11,
111,Si,PER,0,,,2026-02-03 16:47:11,
112,ENOE,ORG,0,,,2026-02-03 16:47:11,
113,##S,ORG,0,,,2026-02-03 16:47:11,
114,I,ORG,0,,,2026-02-03 16:47:11,
115,ET,ORG,0,,,2026-02-03 16:47:11,
116,Au,ORG,0,,,2026-02-03 16:47:11,
117,sa,ORG,0,,,2026-02-03 16:47:11,
118,Diccionario de bolsillo,ORG,0,,,2026-02-03 16:47:11,
119,def,ORG,0,,,2026-02-03 16:47:11,
120,USDA,ORG,0,,,2026-02-03 16:47:11,
121,Buscan,ORG,0,,,2026-02-03 16:47:11,
122,te,ORG,0,,,2026-02-03 16:47:11,
123,rot,ORG,0,,,2026-02-03 16:47:11,
124,transportista,ORG,0,,,2026-02-03 16:47:11,
125,Fibra Storage,ORG,0,,,2026-02-03 16:47:11,
126,CBFI,ORG,0,,,2026-02-03 16:47:11,
127,Atlantic y Kraft Analytics,ORG,0,,,2026-02-03 16:47:11,
128,General,ORG,0,,,2026-02-03 16:47:11,
129,Club América,ORG,0,,,2026-02-03 16:47:11,
130,##é,ORG,0,,,2026-02-03 16:47:11,
131,Ava,ORG,0,,,2026-02-03 16:47:11,
132,Guadalupe de Mon,ORG,0,,,2026-02-03 16:47:11,
133,##ización de la red de agua,ORG,0,,,2026-02-03 16:47:11,
134,##clov,LOC,0,,,2026-02-03 16:47:11,
135,Ley Federal del Trab,ORG,0,,,2026-02-03 16:47:11,
136,##aj,LOC,0,,,2026-02-03 16:47:11,
137,Ce,ORG,0,,,2026-02-03 16:47:11,
138,Baja,LOC,0,,,2026-02-03 16:47:11,
139,Papá de Tylor Chase,ORG,0,,,2026-02-03 16:47:11,
140,de Ned,ORG,0,,,2026-02-03 16:47:11,
141,Estados Unidos,ORG,0,,,2026-02-03 16:47:11,
142,Pa,ORG,0,,,2026-02-03 16:47:11,
143,Mo,ORG,0,,,2026-02-03 16:47:11,
144,##re,ORG,0,,,2026-02-03 16:47:11,
145,Blind,ORG,0,,,2026-02-03 16:47:11,
146,t,ORG,0,,,2026-02-03 16:47:11,
147,Regulación de IED,ORG,0,,,2026-02-03 16:47:11,
148,Biorre,ORG,0,,,2026-02-03 16:47:11,
149,##ía de sargazo,ORG,0,,,2026-02-03 16:47:11,
150,N,ORG,0,,,2026-02-03 16:47:11,
151,central de c,ORG,0,,,2026-02-03 16:47:11,
152,Querétar,LOC,0,,,2026-02-03 16:47:11,
153,##ssy Chávez,PER,0,,,2026-02-03 16:47:11,
154,Bet,PER,0,,,2026-02-03 16:47:11,
155,Perú,ORG,0,,,2026-02-03 16:47:11,
156,Embajada de México,ORG,0,,,2026-02-03 16:47:11,
157,La,ORG,0,,,2026-02-03 16:47:11,
158,AMCHA,ORG,0,,,2026-02-03 16:47:11,
159,##C,ORG,0,,,2026-02-03 16:47:11,
160,##ctor Sánchez,PER,0,,,2026-02-03 16:47:11,
161,H,PER,0,,,2026-02-03 16:47:11,
162,##idad,ORG,0,,,2026-02-03 16:47:11,
163,CCE P,ORG,0,,,2026-02-03 16:47:11,
164,##uebla,LOC,0,,,2026-02-03 16:47:11,
165,l,ORG,0,,,2026-02-03 16:47:11,
166,Federación Japonesa del Hierro y el Acero,ORG,0,,,2026-02-03 16:47:11,
167,##ncias de exportación de China,ORG,0,,,2026-02-03 16:47:11,
168,ta,ORG,0,,,2026-02-03 16:47:11,
169,c,ORG,0,,,2026-02-03 16:47:11,
170,##ción Trump,ORG,0,,,2026-02-03 16:47:11,
171,Ad,ORG,0,,,2026-02-03 16:47:11,
172,##dor,ORG,0,,,2026-02-03 16:47:11,
173,AHMSA Polo Covarrubias en,ORG,0,,,2026-02-03 16:47:11,
174,Castaño,LOC,0,,,2026-02-03 16:47:11,
175,IMSS,ORG,0,,,2026-02-03 16:47:11,
176,p,ORG,0,,,2026-02-03 16:47:11,
177,VIDE,ORG,0,,,2026-02-03 16:47:11,
178,Salt,ORG,0,,,2026-02-03 16:47:11,
179,El,ORG,0,,,2026-02-03 16:47:11,
180,m,ORG,0,,,2026-02-03 16:47:11,
181,me,ORG,0,,,2026-02-03 16:47:11,
182,Posiciona FundéuRAE,ORG,0,,,2026-02-03 16:47:11,
183,##ero,LOC,0,,,2026-02-03 16:47:11,
184,Durango,LOC,0,,,2026-02-03 16:47:11,
185,F,ORG,0,,,2026-02-03 16:47:11,
186,Lea,PER,0,,,2026-02-03 16:47:11,
187,Juan O ' Gorman,PER,0,,,2026-02-03 16:47:11,
188,El arquitecto Felipe,ORG,0,,,2026-02-03 16:47:11,
189,Ucrania,LOC,0,,,2026-02-03 16:47:11,
190,Petrobra,ORG,0,,,2026-02-03 16:47:11,
191,huel,LOC,0,,,2026-02-03 16:47:11,
192,##uest,LOC,0,,,2026-02-03 16:47:11,
193,##o de cambio cier,ORG,0,,,2026-02-03 16:47:11,
194,Na,ORG,0,,,2026-02-03 16:47:11,
195,CLOiD,ORG,0,,,2026-02-03 16:47:11,
196,LG llevará,ORG,0,,,2026-02-03 16:47:11,
197,Kiev,LOC,0,,,2026-02-03 16:47:11,
198,g,LOC,0,,,2026-02-03 16:47:11,
199,Recomendación de Cine en Casa,ORG,0,,,2026-02-03 16:47:11,
200,‘ Amistad Tóxica,ORG,0,,,2026-02-03 16:47:11,
201,la IA,ORG,0,,,2026-02-03 16:47:11,
202,la Casa Blanca,ORG,0,,,2026-02-03 16:47:11,
203,r,ORG,0,,,2026-02-03 16:47:11,
204,##ia,ORG,0,,,2026-02-03 16:47:11,
205,Ataques de R,ORG,0,,,2026-02-03 16:47:11,
206,##us,LOC,0,,,2026-02-03 16:47:11,
207,##ntran,ORG,0,,,2026-02-03 16:47:11,
208,El Chavo,ORG,0,,,2026-02-03 16:47:11,
209,de la Carretera Pochu,ORG,0,,,2026-02-03 16:47:11,
210,Huatulco,LOC,0,,,2026-02-03 16:47:11,
211,##tla,LOC,0,,,2026-02-03 16:47:11,
212,Mara Lezam,PER,0,,,2026-02-03 16:47:11,
213,Q,PER,0,,,2026-02-03 16:47:11,
214,##uintana Roo,PER,0,,,2026-02-03 16:47:11,
215,W,ORG,0,,,2026-02-03 16:47:11,
216,de EU,ORG,0,,,2026-02-03 16:47:11,
217,##fa,ORG,0,,,2026-02-03 16:47:11,
218,Monclov,LOC,0,,,2026-02-03 16:47:11,
219,Torre,PER,0,,,2026-02-03 16:47:11,
220,Sienta Ramos Arizpe,ORG,0,,,2026-02-03 16:47:11,
221,Lidera General Motors,ORG,0,,,2026-02-03 16:47:11,
222,Lerdo,LOC,0,,,2026-02-03 16:47:11,
223,La Laguna,LOC,0,,,2026-02-03 16:47:11,
224,Mata,PER,0,,,2026-02-03 16:47:11,
225,Co,PER,0,,,2026-02-03 16:47:11,
226,##mor,ORG,0,,,2026-02-03 16:47:11,
227,##rred,ORG,0,,,2026-02-03 16:47:11,
228,la Federación,ORG,0,,,2026-02-03 16:47:11,
229,##erd,LOC,0,,,2026-02-03 16:47:11,
230,de,LOC,0,,,2026-02-03 16:47:11,
231,de con,ORG,0,,,2026-02-03 16:47:11,
232,Tu,ORG,0,,,2026-02-03 16:47:11,
233,Puebla,LOC,0,,,2026-02-03 16:47:11,
234,Pet,PER,0,,,2026-02-03 16:47:11,
235,petrol,ORG,0,,,2026-02-03 16:47:11,
236,Bill Gates,PER,0,,,2026-02-03 16:47:11,
237,semi,ORG,0,,,2026-02-03 16:47:11,
238,##pa,PER,0,,,2026-02-03 16:47:11,
239,Economía,ORG,0,,,2026-02-03 16:47:11,
240,Rusia,LOC,0,,,2026-02-03 16:47:11,
241,Hathaway,PER,0,,,2026-02-03 16:47:11,
242,Warren Buffett,PER,0,,,2026-02-03 16:47:11,
243,Gobierno de México,ORG,0,,,2026-02-03 16:47:11,
244,Po,ORG,0,,,2026-02-03 16:47:11,
245,##spone Trump,ORG,0,,,2026-02-03 16:47:11,
246,Recorta EU,ORG,0,,,2026-02-03 16:47:11,
247,##o,ORG,0,,,2026-02-03 16:47:11,
248,Venezuela,LOC,0,,,2026-02-03 16:47:11,
249,Siemens y NVIDIA,ORG,0,,,2026-02-03 16:47:11,
250,MEC,ORG,0,,,2026-02-03 16:47:11,
251,Can,PER,0,,,2026-02-03 16:47:11,
252,La industria restaurantera,ORG,0,,,2026-02-03 16:47:11,
253,##nte de la Banda MS,ORG,0,,,2026-02-03 16:47:11,
254,Mu,ORG,0,,,2026-02-03 16:47:11,
255,ADP,ORG,0,,,2026-02-03 16:47:11,
256,GameStop,ORG,0,,,2026-02-03 16:47:11,
257,Wall Street,LOC,0,,,2026-02-03 16:47:11,
258,Deleg,ORG,0,,,2026-02-03 16:47:11,
259,Mira,ORG,0,,,2026-02-03 16:47:11,
260,de la zona,ORG,0,,,2026-02-03 16:47:11,
261,Se,ORG,0,,,2026-02-03 16:47:11,
262,la REC,ORG,0,,,2026-02-03 16:47:11,
263,Con,ORG,0,,,2026-02-03 16:47:11,
264,lid,ORG,0,,,2026-02-03 16:47:11,
265,##z,ORG,0,,,2026-02-03 16:47:11,
266,Andrés Mu,PER,0,,,2026-02-03 16:47:11,
267,Decidiría Corte de EU,ORG,0,,,2026-02-03 16:47:11,
268,dice Shein,PER,0,,,2026-02-03 16:47:11,
269,Busca México,ORG,0,,,2026-02-03 16:47:11,
270,##n de México,ORG,0,,,2026-02-03 16:47:11,
271,Pre,ORG,0,,,2026-02-03 16:47:11,
272,en,LOC,0,,,2026-02-03 16:47:11,
273,Monterrey y Saltillo,LOC,0,,,2026-02-03 16:47:11,
274,##xpress,ORG,0,,,2026-02-03 16:47:11,
275,Temu,ORG,0,,,2026-02-03 16:47:11,
276,Ali,ORG,0,,,2026-02-03 16:47:11,
277,##MSA,ORG,0,,,2026-02-03 16:47:11,
278,AH,ORG,0,,,2026-02-03 16:47:11,
279,Sheinbaum,PER,0,,,2026-02-03 16:47:11,
280,Ban,ORG,0,,,2026-02-03 16:47:11,
281,##xico,ORG,0,,,2026-02-03 16:47:11,
282,Cuba,LOC,0,,,2026-02-03 16:47:11,
283,Clara Brugada,PER,0,,,2026-02-03 16:47:11,
284,;,ORG,0,,,2026-02-03 16:47:11,
285,Pan,ORG,0,,,2026-02-03 16:47:11,
286,##T,ORG,0,,,2026-02-03 16:47:11,
287,CR,ORG,0,,,2026-02-03 16:47:11,
288,Industria,ORG,0,,,2026-02-03 16:47:11,
289,##za Chevron,ORG,0,,,2026-02-03 16:47:11,
290,Lan,ORG,0,,,2026-02-03 16:47:11,
291,Lukoil,ORG,0,,,2026-02-03 16:47:11,
292,El Chapo Guzmán,PER,0,,,2026-02-03 16:47:11,
293,##ta de Conchos,LOC,0,,,2026-02-03 16:47:11,
294,Pas,LOC,0,,,2026-02-03 16:47:11,
295,Poder Judicial,ORG,0,,,2026-02-03 16:47:11,
296,##ahuila,LOC,0,,,2026-02-03 16:47:11,
297,Leg,ORG,0,,,2026-02-03 16:47:11,
298,##ense,ORG,0,,,2026-02-03 16:47:11,
299,His,ORG,0,,,2026-02-03 16:47:11,
300,Sam,ORG,0,,,2026-02-03 16:47:11,
301,##su,ORG,0,,,2026-02-03 16:47:11,
302,TCL,ORG,0,,,2026-02-03 16:47:11,
303,##ng,ORG,0,,,2026-02-03 16:47:11,
304,Len,ORG,0,,,2026-02-03 16:47:11,
305,##ovo,ORG,0,,,2026-02-03 16:47:11,
306,##VIDIA,ORG,0,,,2026-02-03 16:47:11,
307,Pe,ORG,0,,,2026-02-03 16:47:11,
308,##mex,ORG,0,,,2026-02-03 16:47:11,
309,##CO,ORG,0,,,2026-02-03 16:47:11,
310,IM,ORG,0,,,2026-02-03 16:47:11,
311,Asociación Mexicana de Productores de Carne,ORG,0,,,2026-02-03 16:47:11,
312,##VSA,ORG,0,,,2026-02-03 16:47:11,
313,PD,ORG,0,,,2026-02-03 16:47:11,
314,AL,ORG,0,,,2026-02-03 16:47:11,
315,Fintech,ORG,0,,,2026-02-03 16:47:11,
316,Cru,ORG,0,,,2026-02-03 16:47:11,
317,##do,ORG,0,,,2026-02-03 16:47:11,
318,##l,ORG,0,,,2026-02-03 16:47:11,
319,Inte,ORG,0,,,2026-02-03 16:47:11,
320,República,LOC,0,,,2026-02-03 16:47:11,
321,Mad,PER,0,,,2026-02-03 16:47:11,
322,##uro,PER,0,,,2026-02-03 16:47:11,
323,Bolsonaro,PER,0,,,2026-02-03 16:47:11,
324,USA,LOC,0,,,2026-02-03 16:47:11,
325,Alphabet,ORG,0,,,2026-02-03 16:47:11,
326,Apple,ORG,0,,,2026-02-03 16:47:11,
327,4T,ORG,0,,,2026-02-03 16:47:11,
328,Refu,ORG,0,,,2026-02-03 16:47:11,
329,##erza Monclo,ORG,0,,,2026-02-03 16:47:11,
330,Luz Elena Morales,PER,0,,,2026-02-03 16:47:11,
331,Tru,PER,0,,,2026-02-03 16:47:11,
332,##mp,PER,0,,,2026-02-03 16:47:11,
333,Marco Rubio,PER,0,,,2026-02-03 16:47:11,
334,Juan Ramón,PER,0,,,2026-02-03 16:47:11,
335,Paseo Morelos,LOC,0,,,2026-02-03 16:47:11,
336,Centro Histórico de Torreón,LOC,0,,,2026-02-03 16:47:11,
337,Independencia,LOC,0,,,2026-02-03 16:47:11,
338,Peso,ORG,0,,,2026-02-03 16:47:11,
339,Ciudad de México,LOC,0,,,2026-02-03 16:47:11,
340,Torm,ORG,0,,,2026-02-03 16:47:11,
341,Goretti,ORG,0,,,2026-02-03 16:47:11,
342,Alemania,LOC,0,,,2026-02-03 16:47:11,
343,Nuevo León,LOC,0,,,2026-02-03 16:47:11,
344,BMV,ORG,0,,,2026-02-03 16:47:11,
345,B,ORG,0,,,2026-02-03 16:47:11,
346,##IVA,ORG,0,,,2026-02-03 16:47:11,
347,Santander México,ORG,0,,,2026-02-03 16:47:11,
348,##étaro,ORG,0,,,2026-02-03 16:47:11,
349,Quer,ORG,0,,,2026-02-03 16:47:11,
350,CCE,ORG,0,,,2026-02-03 16:47:11,
351,Corte Suprema,ORG,0,,,2026-02-03 16:47:11,
352,Lorenzo,LOC,0,,,2026-02-03 16:47:11,
353,Villa Florida,LOC,0,,,2026-02-03 16:47:11,
354,Santos Laguna,ORG,0,,,2026-02-03 16:47:11,
355,Werner,PER,0,,,2026-02-03 16:47:11,
356,Aston Martin,ORG,0,,,2026-02-03 16:47:11,
357,##me,ORG,0,,,2026-02-03 16:47:11,
358,F1,ORG,0,,,2026-02-03 16:47:11,
359,real,ORG,0,,,2026-02-03 16:47:11,
360,Sedema,ORG,0,,,2026-02-03 16:47:11,
361,Paseos de Taxqueña,LOC,0,,,2026-02-03 16:47:11,
362,CRT,ORG,0,,,2026-02-03 16:47:11,
363,##s de Taxqueña,LOC,0,,,2026-02-03 16:47:11,
364,Paseo,LOC,0,,,2026-02-03 16:47:11,
365,Wingo,ORG,0,,,2026-02-03 16:47:11,
366,Caracas,LOC,0,,,2026-02-03 16:47:11,
367,Bogotá,LOC,0,,,2026-02-03 16:47:11,
368,Arteaga,LOC,0,,,2026-02-03 16:47:11,
369,Sierra de la Marta,LOC,0,,,2026-02-03 16:47:11,
370,Duran,LOC,0,,,2026-02-03 16:47:11,
371,##go,LOC,0,,,2026-02-03 16:47:11,
372,##H,ORG,0,,,2026-02-03 16:47:11,
373,Fed,ORG,0,,,2026-02-03 16:47:11,
374,BlackRock,ORG,0,,,2026-02-03 16:47:11,
375,UBS,ORG,0,,,2026-02-03 16:47:11,
376,Suiza,LOC,0,,,2026-02-03 16:47:11,
377,UE,ORG,0,,,2026-02-03 16:47:11,
378,##inba,PER,0,,,2026-02-03 16:47:11,
379,BM,ORG,0,,,2026-02-03 16:47:11,
380,##IV,ORG,0,,,2026-02-03 16:47:11,
381,##A,ORG,0,,,2026-02-03 16:47:11,
382,##V,ORG,0,,,2026-02-03 16:47:11,
383,NL,LOC,0,,,2026-02-03 16:47:11,
384,Presidenta,PER,0,,,2026-02-03 16:47:11,
385,Javier Díaz,PER,0,,,2026-02-03 16:47:11,
386,Yuri,PER,0,,,2026-02-03 16:47:11,
387,Netflix,ORG,0,,,2026-02-03 16:47:11,
388,Trin,PER,0,,,2026-02-03 16:47:11,
389,Monclova,ORG,0,,,2026-02-03 16:47:11,
390,##ity Sabinas,ORG,0,,,2026-02-03 16:47:11,
391,##ras,LOC,0,,,2026-02-03 16:47:11,
392,Par,LOC,0,,,2026-02-03 16:47:11,
393,Normal de Lerdo,LOC,0,,,2026-02-03 16:47:11,
394,Gobierno,ORG,0,,,2026-02-03 16:47:11,
395,Canirac,PER,0,,,2026-02-03 16:47:11,
396,##als,ORG,0,,,2026-02-03 16:47:11,
397,Irán,ORG,0,,,2026-02-03 16:47:11,
398,Petroperú,ORG,0,,,2026-02-03 16:47:11,
399,IP,ORG,0,,,2026-02-03 16:47:11,
400,Comisión Reguladora de Telecomunicaciones,ORG,0,,,2026-02-03 16:47:11,
401,Sofomes,ORG,0,,,2026-02-03 16:47:11,
402,##IRPC,ORG,0,,,2026-02-03 16:47:11,
403,SG,ORG,0,,,2026-02-03 16:47:11,
404,Consejo Regulador del Tequila,ORG,0,,,2026-02-03 16:47:11,
405,##PI,ORG,0,,,2026-02-03 16:47:11,
406,OM,ORG,0,,,2026-02-03 16:47:11,
407,Corte,ORG,0,,,2026-02-03 16:47:11,
408,Grupo Senda,ORG,0,,,2026-02-03 16:47:11,
409,Reality Labs,ORG,0,,,2026-02-03 16:47:11,
410,Guadalajara,LOC,0,,,2026-02-03 16:47:11,
411,Congreso de Coahuila,ORG,0,,,2026-02-03 16:47:11,
412,Instituto Tecnológico de Saltillo,ORG,0,,,2026-02-03 16:47:11,
413,##ón,ORG,0,,,2026-02-03 16:47:11,
414,Santos,PER,0,,,2026-02-03 16:47:11,
415,Toluca,ORG,0,,,2026-02-03 16:47:11,
416,La Bombonera,LOC,0,,,2026-02-03 16:47:11,
417,Estado,ORG,0,,,2026-02-03 16:47:11,
418,Municipio,ORG,0,,,2026-02-03 16:47:11,
419,Federación,ORG,0,,,2026-02-03 16:47:11,
420,Franklin Templeton,PER,0,,,2026-02-03 16:47:11,
421,More,PER,0,,,2026-02-03 16:47:11,
422,##na,ORG,0,,,2026-02-03 16:47:11,
423,Cha,PER,0,,,2026-02-03 16:47:11,
424,##inalysis,LOC,0,,,2026-02-03 16:47:11,
425,Tla,LOC,0,,,2026-02-03 16:47:11,
426,##xcala,LOC,0,,,2026-02-03 16:47:11,
427,##PS,ORG,0,,,2026-02-03 16:47:11,
428,ST,ORG,0,,,2026-02-03 16:47:11,
429,Monterrey,LOC,0,,,2026-02-03 16:47:11,
430,AHMSA,ORG,0,,,2026-02-03 16:47:11,
431,Palacio Nacional,LOC,0,,,2026-02-03 16:47:11,
432,Sim,ORG,0,,,2026-02-03 16:47:11,
433,##as Torreón,ORG,0,,,2026-02-03 16:47:11,
434,Hermosillo,LOC,0,,,2026-02-03 16:47:11,
435,Diablos,ORG,0,,,2026-02-03 16:47:11,
436,PT,ORG,0,,,2026-02-03 16:47:11,
437,Cencosud,ORG,0,,,2026-02-03 16:47:11,
438,Mexic,LOC,0,,,2026-02-03 16:47:11,
439,##ali,LOC,0,,,2026-02-03 16:47:11,
440,IE,ORG,0,,,2026-02-03 16:47:11,
441,INE,ORG,0,,,2026-02-03 16:47:11,
442,Agapito,PER,0,,,2026-02-03 16:47:11,
443,San Buenaventura,LOC,0,,,2026-02-03 16:47:11,
444,Matamoros,LOC,0,,,2026-02-03 16:47:11,
445,DIF Nava,ORG,0,,,2026-02-03 16:47:11,
446,Delcy Rodríguez,PER,0,,,2026-02-03 16:47:11,
447,CIA,ORG,0,,,2026-02-03 16:47:11,
448,Carlos Acevedo,PER,0,,,2026-02-03 16:47:11,
449,Selección Nacional,ORG,0,,,2026-02-03 16:47:11,
450,Mérida,LOC,0,,,2026-02-03 16:47:11,
451,Canadá,ORG,0,,,2026-02-03 16:47:11,
452,Colombia,LOC,0,,,2026-02-03 16:47:11,
453,Telcel,ORG,0,,,2026-02-03 16:47:11,
454,Congreso del Trabajo,ORG,0,,,2026-02-03 16:47:11,
455,Infonavit ;,ORG,0,,,2026-02-03 16:47:11,
456,##ores,ORG,0,,,2026-02-03 16:47:11,
457,Af,ORG,0,,,2026-02-03 16:47:11,
458,##rme,ORG,0,,,2026-02-03 16:47:11,
459,Copa,ORG,0,,,2026-02-03 16:47:11,
460,GM Ramos Arizpe,ORG,0,,,2026-02-03 16:47:11,
461,Jorge Mtanous,PER,0,,,2026-02-03 16:47:11,
462,##acintra Monclova,LOC,0,,,2026-02-03 16:47:11,
463,Otmane Khalladi,PER,0,,,2026-02-03 16:47:11,
464,Quintana Roo,LOC,0,,,2026-02-03 16:47:11,
465,General Motors ;,ORG,0,,,2026-02-03 16:47:11,
466,##bar Valdés,PER,0,,,2026-02-03 16:47:11,
467,Tony Flores,PER,0,,,2026-02-03 16:47:11,
468,Lim,PER,0,,,2026-02-03 16:47:11,
469,Gobierno de Coahui,ORG,0,,,2026-02-03 16:47:11,
470,Groenlandia,LOC,0,,,2026-02-03 16:47:11,
